date,status,diary
2020-08-12,leave,
2020-08-13,future,
2020-08-14,future,
2020-08-15,pass,
2020-08-16,pass,
2020-08-17,future,
2020-08-18,future,
2020-08-19,future,
2020-08-20,future,
2020-08-21,future,
2020-08-22,pass,
2020-08-23,pass,
2020-08-24,future,
2020-08-25,future,
2020-08-26,future,
2020-08-27,future,전역
2020-08-28,civilian,
2020-08-29,civilian,
2020-08-30,civilian,
2020-08-31,civilian,
